Time,Susceptible,Exposed,Infected,Recovered/Vaccinated,Total Population
251,641781.1960360154,1851.4910571482415,11939.588322296528,36873746.884685054,33331667.659363657
252,638475.4723708563,1715.8992909706558,11111.458882059193,36890109.07073267,33336174.90743399
253,635194.0127936611,1590.143780189199,10339.905148201855,36906336.21784141,33340277.458488904
254,631936.1258341867,1473.5168841441148,9621.130900541642,36922432.652239434,33343974.073044084
255,628701.1648251369,1365.3615742209392,8951.58893474112,36938402.433281474,33347263.953949388
256,625488.5247154919,1265.067824859629,8327.965216708828,36954249.37089334,33350146.75978384
257,622297.639111095,1172.0692514751365,7747.164020557027,36969977.041893676,33352622.62066004
258,619127.9775247094,1085.8399935740088,7206.293964973776,36985588.80527377,33354692.149849482
259,615979.0428208369,1005.8918285696875,6702.654893251217,37001087.81649981,33356356.457330942
260,612850.3688422289,931.7714846614099,6233.725572215825,37016477.04089136,33357617.16095685
261,609741.5182047182,863.0581485520889,5797.152146953098,37031759.26613797,33358476.396743268
262,606652.0802492219,799.3611498635993,5390.73731607496,37046937.11400383,33358936.82853714
263,603581.6691390306,740.3178153032262,5012.4301729200415,37062013.05127682,33359001.654228557
264,600529.9220927602,685.591471294876,4660.31669054207,37076989.40000299,33358674.613857716
265,597496.4977430039,634.8695899112342,4332.610801852343,37091868.34705549,33357959.99165909
266,594481.074612684,587.8620690300661,4027.6460418735273,37106651.95307654,33356862.620044816
267,591483.3496993579,544.299633154484,3743.8677175828598,37121342.160837,33355387.88152338
268,588503.0371608759,503.9323486182216,3479.82557473954,37135940.80304705,33353541.706368256
269,585539.8670955346,466.52824358921237,3234.1669354108258,37150449.60965085,33351330.57019359
270,582593.5844088867,431.8720275243568,3005.630268544249,37164870.21464429,33348761.48910901
271,579663.947761844,399.76390085731884,2793.0391740676496,37179204.16244224,33345842.0128541
272,576750.7285944801,370.01844915389813,2595.296754968761,37193452.91382354,33342580.215429954
273,573853.7102196486,342.46361616270855,2411.380350219014,37207617.85148359,33338984.684077494
